year,fips,vote_rep,vote_dem,VotePercCountry,VotePercFips,CountyPartisanship
2004,01001,15196,4758,-2.50601061752369,-52.3103137215596,-49.8043031040359
2004,01003,52971,15599,-2.50601061752369,-54.5019687910165,-51.9959581734928
2004,01005,5899,4832,-2.50601061752369,-9.94315534432951,-7.43714472680582
2004,01007,5472,2089,-2.50601061752369,-44.7427588943261,-42.2367482768025
2004,01009,17386,3938,-2.50601061752369,-63.0650909773026,-60.5590803597789
2004,01011,1494,3210,-2.50601061752369,36.4795918367347,38.9856024542584
2004,01013,4979,3413,-2.50601061752369,-18.6606291706387,-16.154618553115
2004,01015,29814,15083,-2.50601061752369,-32.8106555003675,-30.3046448828438
2004,01017,7622,5347,-2.50601061752369,-17.5418305189298,-15.0358199014061
2004,01019,5923,3040,-2.50601061752369,-32.1655695637621,-29.6595589462384
2004,01021,12829,3778,-2.50601061752369,-54.5011139880773,-51.9951033705536
2004,01023,3897,3303,-2.50601061752369,-8.25,-5.74398938247631
2004,01025,6730,4627,-2.50601061752369,-18.517214053007,-16.0112034354833
2004,01027,4624,1893,-2.50601061752369,-41.9057848703391,-39.3997742528154
2004,01029,4370,1391,-2.50601061752369,-51.7097726089221,-49.2037619913984
2004,01031,13019,4480,-2.50601061752369,-48.7970741185211,-46.2910635009974
2004,01033,13188,10598,-2.50601061752369,-10.8887580929959,-8.38274747547219
2004,01035,3271,2719,-2.50601061752369,-9.21535893155259,-6.70934831402889
2004,01037,2905,2055,-2.50601061752369,-17.1370967741935,-14.6310861566699
2004,01039,11119,3423,-2.50601061752369,-52.9225691101637,-50.41655849264
2004,01041,3777,1698,-2.50601061752369,-37.972602739726,-35.4665921222023
2004,01043,26818,8045,-2.50601061752369,-53.8479189972177,-51.341908379694
2004,01045,13621,4484,-2.50601061752369,-50.4667219000276,-47.9607112825039
2004,01047,7335,11175,-2.50601061752369,20.7455429497569,23.2515535672806
2004,01049,16904,7092,-2.50601061752369,-40.8901483580597,-38.384137740536
2004,01051,22056,6471,-2.50601061752369,-54.6324534651383,-52.1264428476146
2004,01053,8513,3814,-2.50601061752369,-38.1195749168492,-35.6135642993255
2004,01055,26999,15328,-2.50601061752369,-27.5734164953812,-25.0674058778575
2004,01057,5534,2408,-2.50601061752369,-39.3603626290607,-36.854352011537
2004,01059,7690,4514,-2.50601061752369,-26.0242543428384,-23.5182437253147
2004,01061,8342,2113,-2.50601061752369,-59.5791487326638,-57.0731381151401
2004,01063,958,3764,-2.50601061752369,59.423972892842,61.9299835103657
2004,01065,3281,4631,-2.50601061752369,17.0626895854398,19.5687002029635
2004,01067,4881,2452,-2.50601061752369,-33.1242329196782,-30.6182223021545
2004,01069,26874,9144,-2.50601061752369,-49.2253873063468,-46.7193766888231
2004,01071,11534,8635,-2.50601061752369,-14.3735435569438,-11.8675329394201
2004,01073,158680,132286,-2.50601061752369,-9.07116295374717,-6.56515233622348
2004,01075,4894,1956,-2.50601061752369,-42.8905109489051,-40.3845003313814
2004,01077,22161,14628,-2.50601061752369,-20.4762293076735,-17.9702186901498
2004,01079,7730,6155,-2.50601061752369,-11.343176089305,-8.83716547178131
2004,01081,27972,16227,-2.50601061752369,-26.5729993891265,-24.0669887716028
2004,01083,19702,9126,-2.50601061752369,-36.6865547384487,-34.180544120925
2004,01085,1786,4233,-2.50601061752369,40.6545937863432,43.1606044038669
2004,01087,1570,7800,-2.50601061752369,66.4887940234792,68.9948046410029
2004,01089,77173,52644,-2.50601061752369,-18.8950599690333,-16.3890493515096
2004,01091,5255,5037,-2.50601061752369,-2.11815001943257,0.387860598091125
2004,01093,8983,3808,-2.50601061752369,-40.4581346259088,-37.9521240083851
2004,01095,22783,8452,-2.50601061752369,-45.8812229870338,-43.3752123695101
2004,01097,92014,63732,-2.50601061752369,-18.1590538440795,-15.6530432265558
2004,01099,5831,3666,-2.50601061752369,-22.7966726334632,-20.2906620159395
2004,01101,44097,45160,-2.50601061752369,1.19094300727114,3.69695362479483
2004,01103,32477,14131,-2.50601061752369,-39.3623412289736,-36.8563306114499
2004,01105,1738,3767,-2.50601061752369,36.8574023614896,39.3634129790132
2004,01107,5170,3915,-2.50601061752369,-13.8139790864062,-11.3079684688825
2004,01109,7483,4334,-2.50601061752369,-26.6480494203266,-24.142038802803
2004,01111,6127,2817,-2.50601061752369,-37.0080500894454,-34.5020394719217
2004,01113,8337,8375,-2.50601061752369,0.227381522259454,2.73339213978315
2004,01115,23500,5456,-2.50601061752369,-62.3152369111756,-59.8092262936519
2004,01117,63435,14850,-2.50601061752369,-62.0616976432267,-59.555687025703
2004,01119,1880,4527,-2.50601061752369,41.3141876073045,43.8201982248282
2004,01121,18331,11374,-2.50601061752369,-23.4202996128598,-20.9142889953361
2004,01123,12392,5451,-2.50601061752369,-38.9004091240262,-36.3943985065025
2004,01125,42877,26447,-2.50601061752369,-23.7003058103976,-21.1942951928739
2004,01127,19167,9016,-2.50601061752369,-36.0181669800944,-33.5121563625707
2004,01129,5060,3145,-2.50601061752369,-23.3394271785497,-20.833416561026
2004,01131,1834,3838,-2.50601061752369,35.3314527503526,37.8374633678763
2004,01133,8130,2236,-2.50601061752369,-56.8589619911248,-54.3529513736011
2004,04001,8384,15658,-2.50601061752369,30.2553864071209,32.7613970246446
2004,04003,26556,17514,-2.50601061752369,-20.5173587474472,-18.0113481299235
2004,04005,22526,29243,-2.50601061752369,12.9749463964921,15.4809570140158
2004,04007,12343,8314,-2.50601061752369,-19.5042842619935,-16.9982736444698
